2020	http://dx.doi.org/10.3390/met10030406	Ni–TiO2
2020	http://dx.doi.org/10.3390/met10030406	 electrolytic deposition
2020	http://dx.doi.org/10.3390/met10030406	 EBSD
2020	http://dx.doi.org/10.3390/met10030406	 texture
2020	http://dx.doi.org/10.1111/jace.17011	layered crystal structures
2020	http://dx.doi.org/10.1111/jace.17011	spark plasma sintering
2020	http://dx.doi.org/10.1111/jace.17011	synthesis
2020	http://dx.doi.org/10.1111/jace.17011	thermal conductivity
2020	http://dx.doi.org/10.1111/jace.17011	transparent conducting oxides
2020	http://dx.doi.org/10.1007/s42452-020-2493-x	Ni–W alloy
2020	http://dx.doi.org/10.1007/s42452-020-2493-x	ARB
2020	http://dx.doi.org/10.1007/s42452-020-2493-x	Microstructure
2020	http://dx.doi.org/10.1007/s42452-020-2493-x	Recrystallization
2020	http://dx.doi.org/10.1007/s42452-020-2493-x	{001}〈100〉 Cube texture
2020	http://dx.doi.org/10.1016/j.jallcom.2020.154569	Corrosion resistance
2020	http://dx.doi.org/10.1016/j.jallcom.2020.154569	Chloride ion
2020	http://dx.doi.org/10.1016/j.jallcom.2020.154569	Magnesium alloy
2020	http://dx.doi.org/10.1016/j.jallcom.2020.154569	Rare earth element
2020	http://dx.doi.org/10.1016/j.matlet.2019.127249	Nanocrystalline materials
2020	http://dx.doi.org/10.1016/j.matlet.2019.127249	SMAT
2020	http://dx.doi.org/10.1016/j.matlet.2019.127249	In-situ heating
2020	http://dx.doi.org/10.1016/j.matlet.2019.127249	EBSD
2020	http://dx.doi.org/10.1016/j.matlet.2019.127249	Thermal analysis
2020	http://dx.doi.org/10.1016/j.surfcoat.2020.125497	Shot peening
2020	http://dx.doi.org/10.1016/j.surfcoat.2020.125497	Finite element model
2020	http://dx.doi.org/10.1016/j.surfcoat.2020.125497	Residual stress
2020	http://dx.doi.org/10.1016/j.surfcoat.2020.125497	Tribological behaviors
2020	http://dx.doi.org/10.1016/j.actamat.2019.11.068	Metal matrix composites
2020	http://dx.doi.org/10.1016/j.actamat.2019.11.068	Aluminum alloys
2020	http://dx.doi.org/10.1016/j.actamat.2019.11.068	Precipitation
2020	http://dx.doi.org/10.1016/j.actamat.2019.11.068	Interface structure
2020	http://dx.doi.org/10.1016/j.actamat.2019.11.068	STEM HAADF
2020	http://dx.doi.org/10.1016/j.matchemphys.2019.122059	-
2019	http://dx.doi.org/10.4028/www.scientific.net/JERA.41.1	Medium Carbon Steel
2019	http://dx.doi.org/10.4028/www.scientific.net/JERA.41.1	Spring Mattress
2019	http://dx.doi.org/10.4028/www.scientific.net/JERA.41.1	Texture
